Protein,Total lipid (fat),Cholesterol,Ingredient,Thiamin,Riboflavin,Niacin,Pantothenic acid,Biotin
16.0,46.15,0.0,aspen,,,,,
19.2,14.55,13.33,ricotta,2.67,19.69,0.77,,
13.64,12.92,13.67,dinner,5.75,5.62,9.9,,
0.0,0.0,0.0,saffron,,,,,
2.36,0.0,0.0,louisville,,,,,
0.0,0.0,,new orleans,,,,,
6.84,8.77,0.33,illinois,,,,,
10.9,1.97,4.67,sweet potato,,,,,
0.0,0.0,,japan,,,,,
15.18,0.0,0.0,epi + ushg,,,,,
2.06,0.29,0.0,side,3.75,2.92,1.3,,
1.74,14.26,0.0,dairy free,1.08,2.46,0.48,,
12.02,23.15,14.67,dessert,2.67,15.31,0.76,,
0.6,29.54,8.0,low,0.0,0.77,0.0,,
28.6,44.0,0.0,granola,,,,,
14.5,10.55,0.0,lima bean,11.83,3.77,2.33,,
21.34,6.97,0.0,boston,34.25,19.38,34.94,,
0.0,0.0,,mardi gras,,,,,
0.0,0.0,,grape,,,,,
40.0,71.85,0.0,pistachio,0.0,,,,
23.6,0.0,37.33,shrimp,,,,,
60.28,12.83,28.33,rabbit,5.0,13.0,44.39,,
1.6,0.12,0.0,beet,0.83,3.69,1.57,,
16.0,2.57,2.33,bulgaria,,,,,
58.16,14.95,29.67,roast,6.08,19.85,36.19,,
0.0,0.0,,maple syrup,,,,,
1.32,0.25,0.0,melon,3.33,1.54,2.69,,
,10.26,0.0,oatmeal,,,,,
7.14,49.38,12.0,fourth of july,,,,,
7.06,0.0,0.0,spinach,,,,,
6.24,7.38,5.33,england,4.5,4.23,4.64,,
2.1,0.0,0.0,zucchini,,,,,
8.0,10.77,1.67,pasadena,,,,,
14.04,0.0,,dorie greenspan,,,,,
0.0,0.0,,parsley,,,,,
1.58,0.08,0.0,sorbet,0.5,0.69,0.51,,
28.6,0.0,0.0,whole wheat,,,,,
44.8,3.12,31.67,game,26.67,44.62,,,
0.0,51.23,0.0,marinade,,,,,
1.84,0.15,0.0,lettuce,5.5,4.92,2.02,,
24.8,27.38,0.0,coriander,19.92,22.31,13.31,,
6.16,16.62,12.67,ice cream,,,,,
0.0,0.0,,smoker,,,,,
22.8,3.66,131.0,tested & improved,26.25,16.46,10.88,17.44,
0.0,0.0,,pickles,,,,,
6.86,0.34,0.0,currant,13.33,10.92,10.09,,
35.74,12.25,26.33,sardine,22.5,17.92,31.43,,
5.88,67.85,0.0,chocolate,,,,,
1.36,0.15,0.0,radish,1.0,3.0,1.59,,
4.7,0.0,0.0,cauliflower,,,,,
40.46,38.58,30.0,venison,33.92,21.77,45.44,,
8.88,7.43,0.0,christmas,136.67,142.31,135.62,7.4,
0.0,12.4,0.0,dip,,,,,
0.0,35.85,0.0,butterscotch,,,,,
17.64,23.11,83.33,lime,8.08,20.54,0.82,,
24.6,1.23,13.67,alaska,2.5,3.08,12.5,,
5.88,20.31,17.0,camping,,,,,
7.0,24.92,30.67,vanilla,3.42,12.85,0.51,,
15.18,32.15,21.0,pernod,,,,,
1.8,0.23,0.0,cranberry sauce,1.25,1.62,0.62,,
6.8,3.48,24.33,winter,3.92,10.85,3.38,,
7.06,36.15,8.0,cake,,,,,
1.96,86.4,10.67,fry,0.83,4.31,2.24,,
34.4,39.85,23.0,jalapeño,,,,,
12.3,0.58,0.0,kansas,,,,,
39.2,8.25,20.67,paris,,,,,
2.36,0.0,,double boiler,,,,,
13.34,0.0,0.0,tennessee,,,,,
16.0,30.77,17.67,biscuit,,,,,
0.0,0.0,0.0,rosemary,,,,,
40.0,9.05,17.67,beef,,,,,
0.58,0.11,0.0,tree nut free,0.0,23.08,21.88,1.26,
0.0,0.0,0.0,cinnamon,,,,,
1.66,0.0,0.0,orange juice,0.0,,2.08,,
0.0,0.0,0.0,tailgating,,,,,
3.08,1.02,0.0,persimmon,4.67,4.38,1.49,,
12.08,18.62,6.67,st. louis,,,,,
1.32,0.51,0.0,connecticut,,,,,
26.48,1.88,39.67,house cocktail,1.75,1.92,11.29,,
0.0,0.0,0.0,gin,0.5,0.31,0.08,,
0.14,0.0,0.0,sparkling wine,0.33,1.08,0.66,,
11.52,1.42,0.0,pasta maker,22.67,10.38,10.49,,
14.2,17.85,9.67,sandwich,,,,,
4.56,0.95,0.0,dried fruit,5.42,6.69,6.29,,
0.08,0.0,0.0,spritzer,0.25,1.08,0.62,,
4.46,15.54,0.0,florida,1.75,4.08,4.2,18.62,
7.04,5.42,5.0,yogurt,,11.54,,,
0.0,0.0,0.0,whiskey,0.5,0.31,0.08,,
53.0,11.31,0.0,soy,27.75,26.85,18.61,,
0.0,0.0,,paprika,,,,,
20.4,6.52,0.0,raisin,0.0,22.15,21.19,,
50.0,49.38,32.0,goat cheese,,,,,
8.46,13.0,33.0,ramekin,,,,,
0.0,0.0,0.0,pomegranate,,,,,
9.74,2.05,3.0,nancy silverton,,,,,
48.8,7.52,129.67,braise,16.33,315.38,66.88,91.4,
0.0,5.49,0.0,salsa,,,,,
42.8,6.86,19.33,london,,,,,
20.0,24.46,31.33,quiche,,,,,
0.0,0.0,,tea,,,,,
5.0,0.0,0.0,papaya,,,,,
7.08,1.35,0.0,kale,0.0,9.23,6.62,,
11.76,16.31,13.67,iowa,,,,,
18.6,7.15,0.0,hamburger,83.33,30.38,29.06,,
13.56,6.42,0.0,blender,104.17,108.46,104.38,,
0.0,0.0,,grapefruit,,,,,
26.6,1.71,0.0,wild rice,,17.46,41.69,,
4.54,0.0,0.0,sugar snap pea,,,,,
0.0,0.0,,mixer,,,,,
5.78,0.52,0.0,artichoke,4.17,6.85,6.94,,
4.8,4.37,0.67,watercress,7.0,9.15,1.24,,
4.7,0.0,0.0,broccoli,,,,,
0.0,0.0,0.0,kosher for passover,,,,,
0.0,0.0,0.0,new hampshire,,,,,
39.2,2.75,23.67,cookbook critic,,,,,
5.6,0.31,0.0,edible gift,12.5,6.15,3.75,15.0,
7.14,16.46,0.0,purim,,,,,
13.34,0.0,,capers,,,,,
9.52,0.0,,orange,,,,,
50.0,49.38,35.67,kentucky derby,,,,,
15.42,9.23,5.67,ohio,,,,,
2.58,4.37,0.67,parsnip,6.67,3.85,4.38,,
8.7,26.77,7.33,hanukkah,,,,,
0.0,0.0,,curry,,,,,
13.34,92.31,0.0,germany,,,,,
35.8,49.38,35.67,brie,,,,,
30.92,10.26,46.67,shellfish,5.58,3.08,13.63,,
1.32,3.58,0.0,oat,1.92,0.62,0.35,,
18.18,42.0,5.0,peanut,,,,,
1.92,1.57,0.0,tomatillo,3.67,2.69,11.56,3.0,
0.14,0.0,,france,,,,,
2.36,1.06,0.0,horseradish,0.67,1.85,2.41,,
5.64,23.85,9.33,valentine's day,,,,,
0.0,0.0,,apple juice,,,,,
2.12,0.43,0.0,nectarine,2.83,2.08,7.0,,
0.96,0.66,,dill,3.92,4.38,0.68,4.0,
6.76,0.46,0.0,brussel sprout,11.58,6.92,4.66,,
42.8,38.46,29.67,chicago,,,,,
16.36,28.0,44.0,frittata,,,,,
50.0,49.38,29.67,cheddar,,,,,
22.94,37.75,0.0,sandwich theory,40.75,20.85,38.21,,
5.0,0.0,0.0,mango,,,,,
1.74,0.37,0.0,carrot,4.5,8.15,6.71,,
11.52,19.38,0.0,spice,10.92,10.54,14.0,,
14.28,32.92,12.0,bon app��tit,,,,,
0.0,1.0,0.0,apple,,,,,
4.46,16.77,0.0,wasabi,4.17,5.38,1.0,0.0,
0.0,0.0,0.0,spirit,,,66.88,,
1.32,0.0,0.0,south carolina,,,,,
37.6,19.08,23.33,denver,6.67,15.0,20.75,17.06,
28.22,21.71,0.0,pea,51.17,24.15,31.62,,
0.0,0.0,0.0,pineapple,,,,,
1.08,0.22,0.0,honeydew,3.17,0.92,2.61,,
0.0,0.0,0.0,guam,,,,,
35.64,13.14,18.33,veal,8.25,20.54,33.32,,
46.6,1.32,,cinco de mayo,,,,,
0.0,0.0,0.0,thyme,,,,,
7.72,9.72,0.67,georgia,,,,,
38.0,9.23,0.0,chickpea,,,,,
7.14,49.38,29.67,cream cheese,,,,,
30.4,12.23,15.33,salmon,,,,,
0.74,0.23,0.0,pear,1.0,2.0,1.01,,
35.8,3.43,18.0,pork tenderloin,,,,,
50.4,75.08,0.0,virginia,54.42,10.08,77.5,35.2,
14.28,19.23,0.0,poker,,,,,
0.0,143.54,,spain,,,,,
25.0,9.62,0.0,banana,,,,,
4.0,0.0,0.0,radicchio,,,,,
4.9,0.6,0.0,date,4.33,5.08,7.96,,
13.8,0.0,0.0,haiti,,,,,
31.34,19.85,16.67,lunch,7.67,15.69,37.41,,
7.14,13.74,12.0,brooklyn,,,,,
0.0,0.0,0.0,cambridge,,,,,
10.66,26.62,46.67,soufflé,,,,,
7.14,3.69,2.33,wedding,6.58,6.08,5.86,,
0.6,29.54,8.0,vegan,0.0,0.0,0.0,,
42.8,38.46,35.67,hot pepper,,,,,
0.0,115.38,27.67,mayonnaise,,,,,
27.0,33.86,0.0,boil,21.58,4.85,32.87,,
22.0,24.92,9.33,fish,10.17,8.92,9.62,5.44,
4.2,0.31,0.0,prune,3.33,,15.62,8.6,
7.14,54.92,0.0,coconut,,,,,
9.04,1.37,2.33,bake,2.58,1.08,1.81,,
27.38,105.18,0.0,pine nut,30.33,17.46,27.42,,
0.0,0.0,0.0,pepper,,,,,
41.34,81.11,0.0,almond,7.83,71.77,24.29,,
11.42,66.0,0.0,missouri,,,,,
22.0,44.77,21.33,oscars,4.17,8.46,15.12,5.6,
15.38,59.23,0.0,candy,,,,,
7.4,28.46,0.0,birthday,,,,,
6.66,0.0,0.0,strawberry,,,,,
11.42,61.54,0.0,poblano,,,,,
4.4,4.22,1.33,barley,6.67,4.62,12.44,,
3.76,1.32,0.0,kumquat,3.08,6.92,2.68,,
6.94,3.74,0.0,rice,,,,,
50.0,32.92,29.67,columbus,,,,,
0.0,0.15,0.0,molasses,3.42,0.15,5.81,,
50.0,49.23,5.0,low cholesterol,2.5,27.69,0.5,,
34.0,31.54,23.67,lamb,,,,,
0.0,0.0,0.0,pomegranate juice,,,,,
28.6,10.98,0.0,quinoa,,,,,
24.24,81.58,0.0,cashew,13.17,12.23,6.93,,
0.0,0.0,,low cal,,,42.25,42.2,
34.0,31.54,25.33,ground lamb,,,,,
4.0,0.02,0.0,jerusalem artichoke,16.67,4.62,8.12,7.94,
5.6,0.92,0.0,tamarind,35.67,11.69,12.11,,
1.66,0.68,0.0,lychee,0.92,5.0,3.77,,
7.06,0.0,0.0,mustard greens,,,,,
0.0,0.0,0.0,arizona,,,,,
20.68,47.74,5.67,peanut free,28.33,17.08,34.61,,
29.8,25.54,12.67,picnic,31.17,18.62,14.44,13.6,
1.52,0.52,0.0,berry,2.42,3.08,4.36,,
56.8,42.77,28.67,parmesan,2.17,27.54,0.5,9.0,
8.1,0.58,0.0,pancake,21.83,1.92,14.87,,
40.2,17.54,22.0,lamb shank,8.33,7.38,25.56,8.66,
0.84,0.0,0.0,miami,,,,,
0.0,0.0,0.0,d.c.,,,,,
2.86,17.54,2.33,potato salad,,,,,
13.74,39.68,0.67,snack week,15.5,17.62,14.35,,
4.6,0.31,0.0,vegetable,5.08,5.31,4.87,5.2,
8.34,44.92,20.67,seattle,,,,,
16.82,2.65,0.0,self,56.5,29.77,28.56,,
6.78,3.26,2.67,milk,,,,,
31.4,12.63,18666.67,skewer,,,,,
34.2,28.62,19.0,pennsylvania,,,,,
0.0,46.15,0.0,lemon,,,,,
2.08,0.15,0.0,low sodium,0.92,12.77,8.94,0.94,
6.92,1.66,1.67,buttermilk,4.0,15.08,0.8,,
0.0,0.0,0.0,drink,,,,,
6.66,20.46,0.0,entertaining,,,,,
7.72,9.72,0.67,oklahoma,,,,,
0.0,0.0,0.0,citrus,0.0,0.0,0.0,0.0,
0.0,59.54,,cook like a diner,1.0,0.0,0.0,,
0.0,0.0,0.0,fruit juice,,,,,
59.0,39.85,51.0,epi loves the microwave,4.08,30.62,50.62,19.76,
0.0,0.0,,garlic,,,,,
0.0,0.0,,apricot,,,,,
11.94,20.0,0.0,clove,13.17,16.92,9.75,10.18,
16.28,0.88,0.0,soy sauce,2.75,12.69,13.73,,
0.56,0.0,0.0,drinks,,,,,
21.0,43.23,16.0,las vegas,,,,,
0.24,0.03,0.0,coffee grinder,1.17,5.85,1.19,,
2.68,0.15,0.0,hawaii,8.5,1.46,3.01,8.66,
14.28,76.92,23.67,bacon,,,,,
42.08,12.48,31.0,super bowl,5.5,12.85,32.09,,
0.0,0.0,0.0,rum,0.5,0.31,0.08,,
0.0,0.0,0.0,brandy,0.5,0.31,0.08,,
24.8,15.32,137.0,poach,5.17,30.62,0.0,,
26.48,1.88,39.67,cocktail party,1.75,1.92,11.29,,
1.46,46.23,0.0,olive,0.67,0.15,0.56,,
21.8,6.45,0.0,house & garden,,,,,
7.78,17.42,24.67,potato,8.92,11.0,6.2,,
8.82,8.71,0.0,halloween,133.33,138.46,128.75,,
2.36,0.0,0.0,yuca,,,,,
0.0,153.85,0.0,wok,0.0,0.0,0.0,0.0,
50.0,49.38,35.67,gouda,,,,,
,0.0,0.0,dallas,,,,,
26.5,19.94,14.33,octopus,13.75,7.85,15.9,,
2.56,8.88,4.67,soup,,,,,
2.22,0.0,0.0,passion fruit,,,,,
6.28,13.09,0.0,stuffing,11.33,8.23,9.22,,
48.6,6.18,26.67,canada,23.67,116.92,41.0,,
21.4,0.0,0.0,italy,,,,,
5.88,0.0,0.0,marshmallow,,,,,
1.4,0.43,0.0,plum,2.33,2.0,2.61,,
0.0,0.0,,rub,,,,,
42.8,38.46,23.67,mozzarella,,,,,
1.76,9.52,0.0,mushroom,,,,,
4.06,0.0,0.0,idaho,,,,,
31.86,21.06,12.33,bass,18.0,12.31,14.02,,
6.66,12.82,,mortar and pestle,,,,,
15.68,26.46,10.0,chile,9.75,14.0,5.99,,
6.92,1.66,1.6,low fat,4.04,15.08,0.8,,0.0
44.42,79.02,0.0,peanut butter,12.5,14.77,81.95,,
13.6,13.6,1.0,pizza,,,,,
50.0,54.92,35.67,vermont,,,,,
5.0,0.0,0.0,philippines,,,,,
1.3,4.31,0.67,squash,3.08,1.62,4.9,,
4.76,36.62,35.67,coffee,,,,,
0.0,153.85,0.0,sesame oil,0.0,0.0,0.0,,
4.68,34.92,6.67,cupcake,,,,,
7.48,18.62,17.33,maine,,,,,
25.0,2.75,0.0,pasta,83.33,23.38,33.5,,
8.0,1.54,0.0,chestnut,,,,,
6.0,4.62,0.0,muffin,,,,,
7.72,9.72,0.67,alabama,,,,,
18.8,57.85,,jamaica,,,,,
40.8,0.38,20.33,pacific palisades,,,,,
0.0,0.0,0.0,santa monica,,,,,
28.4,24.46,16.33,meatloaf,,,,,
2.2,0.35,0.0,omelet,3.67,2.08,4.03,,
4.04,1.51,,texas,8.75,18.85,7.0,7.3,
0.0,0.0,0.0,easter,,,,,
2.04,0.0,0.0,yellow squash,,,,,
9.3,13.75,33.67,summer,6.58,13.31,3.19,,
4.94,1.89,1.0,rhode island,,,,,
26.6,0.0,0.0,couscous,,,,,
5.26,7.09,0.0,salad,,,,,
5.36,18.62,3.33,pie,,,,,
0.0,0.0,0.0,suzanne goin,,,,,
21.4,26.62,13.33,sausage,,,,,
5.4,16.62,0.0,brownie,,,,,
24.2,34.31,15.0,mother's day,45.83,13.08,19.5,9.4,
0.0,0.0,0.0,22-minute meals,0.17,0.23,0.06,,
18.84,17.82,10.0,pan-fry,31.42,17.69,21.64,,
9.9,16.54,3.33,oyster,12.33,8.69,11.48,,
14.64,48.77,4.0,hazelnut,,,,,
0.4,0.0,0.0,fat free,0.67,0.0,0.06,,
0.0,0.0,,iced tea,,,,,
54.72,25.03,32.33,lamb chop,8.67,20.23,43.25,,
0.0,0.0,0.0,caraway,,,,,
57.78,14.94,28.33,anchovy,6.5,27.92,124.39,,
25.0,2.75,0.0,orzo,83.33,23.38,33.5,,
8.0,30.77,0.0,cherry,,,,,
5.64,1.08,0.0,arugula,,,,,
35.8,17.85,19.33,meat,,,,,
50.4,75.08,0.0,west virginia,54.42,10.08,77.5,35.2,
17.84,23.65,7.33,pot pie,14.08,10.92,16.56,,
24.0,31.69,13.67,frangelico,,,,,
